49,10.78125
7,1.0625
6,0.640625
48,12.125
50,14.546875
35,7.71875
46,13.65625
27,5.375
17,2.953125
28,6.671875
19,4.5625
47,9.875
34,10.875
15,0.921875
2,0.1875
32,4.796875
10,1.578125
13,3.0625
41,4.1875
45,13.015625
25,3.96875
33,5.796875
8,1.96875
30,5.96875
44,9.296875
21,2.03125
43,12.15625
36,2.34375
24,9.234375
39,8.46875
20,3.03125
16,3.859375
9,1.6875
14,2.140625
23,5.125
22,4.765625
11,0.546875
12,1.78125
18,1.65625
40,7.375
31,6.1875
38,6.96875
5,0.71875
37,3.859375
3,0.515625
4,0.109375
1,0.109375
42,1.328125
29,2.203125
26,3.15625
