29,16.4375
16,11.15625
48,31.140625
9,2.296875
26,10.78125
43,22.4375
6,1.484375
15,7.328125
32,16.53125
40,16.59375
11,2.125
33,16.953125
21,9.015625
10,4.71875
5,2.203125
34,19.234375
30,11.53125
28,8.1875
20,6.0625
47,25.921875
14,5.828125
41,24.78125
2,0.890625
24,13.1875
23,20.125
17,5.953125
12,4.125
39,16.5
37,9.40625
38,11.515625
25,8.6875
31,11.46875
49,10.65625
44,19.0
45,26.265625
18,3.359375
42,13.90625
35,9.453125
1,0.296875
50,13.6875
27,6.25
19,5.5
8,1.96875
36,8.703125
3,0.40625
22,11.84375
4,0.96875
13,0.71875
46,15.84375
7,1.90625
